PokemonID	name	pokedex_number	PokemonPhase_5cat	generation	type1	type2	height_m	weight_kg	hp	attack	defense	sp_attack	sp_defense	speed	total	catch_rate	percentage_male	base_happiness_8	special_status	gender_unknown	dual_type	is_rock	is_steel	is_ground	is_water	is_fire	is_grass	is_bug	is_ice	is_dragon	is_flying	is_fairy	is_ghost	is_poison	is_electric	is_normal	is_dark	is_psychic	is_fighting	gender_cat	happiness_cat	BMI
13	Beedrill	15	Phase2	1	bug	poison	1	29.5	65	90	40	45	80	75	395	45	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	29.5
16	Pidgey	16	Base	1	normal	flying	0.3	1.8	40	45	40	35	35	56	251	255	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	20
16	Pidgeotto	17	Phase1	1	normal	flying	1.1	30	63	60	55	50	50	71	349	120	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	24.79338843
16	Pidgeot	18	Phase2	1	normal	flying	1.5	39.5	83	80	75	70	70	101	479	45	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	17.55555556
19	Rattata	19	Base	1	normal	dark	0.3	3.5	30	56	35	25	35	72	253	255	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Equal	Normal	38.88888889
19	Raticate	20	Phase1	1	normal	dark	0.7	18.5	55	81	60	50	70	97	413	127	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Equal	Normal	37.75510204
21	Spearow	21	Base	1	normal	flying	0.3	2	40	60	30	31	31	70	262	255	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	22.22222222
21	Fearow	22	Phase1	1	normal	flying	1.2	38	65	90	65	61	61	100	442	90	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	26.38888889
23	Ekans	23	Base	1	poison	NA	2	6.9	35	60	44	40	54	55	288	255	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	1.725
23	Arbok	24	Phase1	1	poison	NA	3.5	65	60	95	69	65	79	80	448	90	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	5.306122449
172	Pikachu	25	Base	1	electric	NA	0.4	6	35	55	40	50	50	90	320	190	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Equal	Normal	37.5
172	Raichu	26	Phase1	1	electric	NA	0.8	30	60	90	55	90	80	110	485	75	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Equal	Normal	46.875
27	Sandshrew	27	Base	1	ground	ice	0.6	12	50	75	85	20	30	40	300	255	50	50	normal	0	Dual	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Equal	Normal	33.33333333
27	Sandslash	28	Phase1	1	ground	ice	1	29.5	75	100	110	45	55	65	450	90	50	50	normal	0	Dual	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Equal	Normal	29.5
29	Nidoran-F	29	Base	1	poison	NA	0.4	7	55	47	52	40	40	41	275	235	0	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly females	Normal	43.75
29	Nidorina	30	Phase1	1	poison	NA	0.8	20	70	62	67	55	55	56	365	120	0	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly females	Normal	31.25
29	Nidoqueen	31	Phase2	1	poison	ground	1.3	60	90	92	87	75	85	76	505	45	0	50	normal	0	Dual	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly females	Normal	35.50295858
32	Nidoran-M	32	Base	1	poison	NA	0.5	9	46	57	40	40	40	50	273	235	100	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	36
32	Nidorino	33	Phase1	1	poison	NA	0.9	19.5	61	72	57	55	55	65	365	120	100	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	24.07407407
32	Nidoking	34	Phase2	1	poison	ground	1.4	62	81	102	77	85	75	85	505	45	100	50	normal	0	Dual	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	31.63265306
173	Clefairy	35	Base	1	fairy	NA	0.6	7.5	70	45	48	60	65	35	323	150	25	140	normal	0	Single	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Mostly females	Happy	20.83333333
173	Clefable	36	Phase1	1	fairy	NA	1.3	40	95	70	73	95	90	60	483	25	25	140	normal	0	Single	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Mostly females	Happy	23.66863905
37	Vulpix	37	Base	1	fire	ice	0.6	9.9	38	41	40	50	65	65	299	190	25	50	normal	0	Dual	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	Mostly females	Normal	27.5
37	Ninetales	38	Phase1	1	fire	ice	1.1	19.9	73	76	75	81	100	100	505	75	25	50	normal	0	Dual	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	Mostly females	Normal	16.44628099
174	Jigglypuff	39	Base	1	normal	fairy	0.5	5.5	115	45	20	45	25	20	270	170	25	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Mostly females	Normal	22
174	Wigglytuff	40	Phase1	1	normal	fairy	1	12	140	70	45	85	50	45	435	50	25	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Mostly females	Normal	12
41	Zubat	41	Base	1	poison	flying	0.8	7.5	40	45	35	30	40	55	245	255	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	Equal	Normal	11.71875
41	Golbat	42	Phase1	1	poison	flying	1.6	55	75	80	70	65	75	90	455	90	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	Equal	Normal	21.484375
43	Oddish	43	Base	1	grass	poison	0.5	5.4	45	50	55	75	65	30	320	255	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	21.6
43	Gloom	44	Phase1	1	grass	poison	0.8	8.6	60	65	70	85	75	40	395	120	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	13.4375
43	Vileplume	45	Phase2	1	grass	poison	1.2	18.6	75	80	85	110	90	50	490	45	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	12.91666667
46	Paras	46	Base	1	bug	grass	0.3	5.4	35	70	55	45	55	25	285	190	50	50	normal	0	Dual	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	60
46	Parasect	47	Phase1	1	bug	grass	1	29.5	60	95	80	60	80	30	405	75	50	50	normal	0	Dual	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	29.5
48	Venonat	48	Base	1	bug	poison	1	30	60	55	50	40	55	45	305	190	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	30
48	Venomoth	49	Phase1	1	bug	poison	1.5	12.5	70	65	60	90	75	90	450	75	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	5.555555556
50	Diglett	50	Base	1	ground	NA	0.2	0.8	10	55	25	35	45	95	265	255	50	50	normal	0	Single	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	20
50	Dugtrio	51	Phase1	1	ground	NA	0.7	33.3	35	100	50	50	70	120	425	50	50	50	normal	0	Single	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	67.95918367
52	Meowth	52	Base	1	normal	dark	0.4	4.2	40	45	35	40	40	90	290	255	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Equal	Normal	26.25
52	Persian	53	Phase1	1	normal	dark	1	32	65	70	60	65	65	115	440	90	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Equal	Normal	32
54	Psyduck	54	Base	1	water	NA	0.8	19.6	50	52	48	65	50	55	320	190	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	30.625
54	Golduck	55	Phase1	1	water	NA	1.7	76.6	80	82	78	95	80	85	500	75	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	26.50519031
56	Mankey	56	Base	1	fighting	NA	0.5	28	40	80	35	35	45	70	305	190	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Equal	Normal	112
56	Primeape	57	Phase1	1	fighting	NA	1	32	65	105	60	60	70	95	455	75	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Equal	Normal	32
58	Growlithe	58	Base	1	fire	NA	0.7	19	55	70	45	70	50	60	350	190	75	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	38.7755102
58	Arcanine	59	Phase1	1	fire	NA	1.9	155	90	110	80	100	80	95	555	75	75	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	42.93628809
60	Poliwag	60	Base	1	water	NA	0.6	12.4	40	50	40	40	40	90	300	255	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	34.44444444
60	Poliwhirl	61	Phase1	1	water	NA	1	20	65	65	65	50	50	90	385	120	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	20
60	Poliwrath	62	Phase2	1	water	fighting	1.3	54	90	95	95	70	90	70	510	45	50	50	normal	0	Dual	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Equal	Normal	31.95266272
63	Abra	63	Base	1	psychic	NA	0.9	19.5	25	20	15	105	55	90	310	200	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Mostly males	Normal	24.07407407
63	Kadabra	64	Phase1	1	psychic	NA	1.3	56.5	40	35	30	120	70	105	400	100	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Mostly males	Normal	33.43195266
63	Alakazam	65	Phase2	1	psychic	NA	1.5	48	55	50	45	135	95	120	500	50	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Mostly males	Normal	21.33333333
66	Machop	66	Base	1	fighting	NA	0.8	19.5	70	80	50	35	35	35	305	180	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Mostly males	Normal	30.46875
66	Machoke	67	Phase1	1	fighting	NA	1.5	70.5	80	100	70	50	60	45	405	90	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Mostly males	Normal	31.33333333
66	Machamp	68	Phase2	1	fighting	NA	1.6	130	90	130	80	65	85	55	505	45	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Mostly males	Normal	50.78125
69	Bellsprout	69	Base	1	grass	poison	0.7	4	50	75	35	70	30	40	300	255	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	8.163265306
69	Weepinbell	70	Phase1	1	grass	poison	1	6.4	65	90	50	85	45	55	390	120	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	6.4
69	Victreebel	71	Phase2	1	grass	poison	1.7	15.5	80	105	65	100	70	70	490	45	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	5.363321799
72	Tentacool	72	Base	1	water	poison	0.9	45.5	40	40	35	50	100	70	335	190	50	50	normal	0	Dual	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	56.17283951
72	Tentacruel	73	Phase1	1	water	poison	1.6	55	80	70	65	80	120	100	515	60	50	50	normal	0	Dual	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	21.484375
74	Geodude	74	Base	1	rock	ground	0.4	20	40	80	100	30	30	20	300	255	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	125
74	Graveler	75	Phase1	1	rock	ground	1	105	55	95	115	45	45	35	390	120	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	105
74	Golem	76	Phase2	1	rock	ground	1.4	300	80	120	130	55	65	45	495	45	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	153.0612245
77	Ponyta	77	Base	1	fire	NA	1	30	50	85	55	65	65	90	410	190	50	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	30
77	Rapidash	78	Phase1	1	fire	NA	1.7	95	65	100	70	80	80	105	500	60	50	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	32.87197232
79	Slowpoke	79	Base	1	water	psychic	1.2	36	90	65	65	40	40	15	315	190	50	50	normal	0	Dual	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	25
79	Slowbro	80	Phase1	1	water	psychic	1.6	78.5	95	75	110	100	80	30	490	75	50	50	normal	0	Dual	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	30.6640625
81	Magnemite	81	Base	1	electric	steel	0.3	6	25	35	70	95	55	45	325	190	NA	50	normal	1	Dual	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Genderless	Normal	66.66666667
81	Magneton	82	Phase1	1	electric	steel	1	60	50	60	95	120	70	70	465	60	NA	50	normal	1	Dual	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Genderless	Normal	60
83	Farfetch'd	83	Base	1	normal	flying	0.8	15	52	90	55	58	62	60	377	45	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	23.4375
84	Doduo	84	Base	1	normal	flying	1.4	39.2	35	85	45	35	35	75	310	190	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	20
84	Dodrio	85	Phase1	1	normal	flying	1.8	85.2	60	110	70	60	60	110	470	45	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Equal	Normal	26.2962963
86	Seel	86	Base	1	water	NA	1.1	90	65	45	55	45	70	45	325	190	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	74.38016529
86	Dewgong	87	Phase1	1	water	ice	1.7	120	90	70	80	70	95	70	475	75	50	50	normal	0	Dual	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Equal	Normal	41.52249135
88	Grimer	88	Base	1	poison	NA	0.9	30	80	80	50	40	50	25	325	190	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	37.03703704
88	Muk	89	Phase1	1	poison	NA	1.2	30	105	105	75	65	100	50	500	75	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	20.83333333
90	Shellder	90	Base	1	water	NA	0.3	4	30	65	100	45	25	40	305	190	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	44.44444444
90	Cloyster	91	Phase1	1	water	ice	1.5	132.5	50	95	180	85	45	70	525	60	50	50	normal	0	Dual	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Equal	Normal	58.88888889
92	Gastly	92	Base	1	ghost	poison	1.3	0.1	30	35	30	100	35	80	310	190	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Equal	Normal	0.059171598
92	Haunter	93	Phase1	1	ghost	poison	1.6	0.1	45	50	45	115	55	95	405	90	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Equal	Normal	0.0390625
92	Gengar	94	Phase2	1	ghost	poison	1.5	40.5	60	65	60	130	75	110	500	45	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Equal	Normal	18
95	Onix	95	Base	1	rock	ground	8.8	210	35	45	160	30	45	70	385	45	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	2.71177686
96	Drowzee	96	Base	1	psychic	NA	1	32.4	60	48	45	43	90	42	328	190	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	32.4
96	Hypno	97	Phase1	1	psychic	NA	1.6	75.6	85	73	70	73	115	67	483	75	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	29.53125
98	Krabby	98	Base	1	water	NA	0.4	6.5	30	105	90	25	25	50	325	225	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	40.625
98	Kingler	99	Phase1	1	water	NA	1.3	60	55	130	115	50	50	75	475	60	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	35.50295858
100	Voltorb	100	Base	1	electric	NA	0.5	10.4	40	30	50	55	55	100	330	190	NA	50	normal	1	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Genderless	Normal	41.6
100	Electrode	101	Phase1	1	electric	NA	1.2	66.6	60	50	70	80	80	150	490	60	NA	50	normal	1	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Genderless	Normal	46.25
102	Exeggcute	102	Base	1	grass	psychic	0.4	2.5	60	40	80	60	45	40	325	90	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	15.625
102	Exeggutor	103	Phase1	1	grass	psychic	2	120	95	95	85	125	75	55	530	45	50	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Equal	Normal	30
104	Cubone	104	Base	1	ground	NA	0.4	6.5	50	50	95	40	50	35	320	190	50	50	normal	0	Single	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	40.625
104	Marowak	105	Phase1	1	ground	fire	1	4.5	60	80	110	50	80	45	425	75	50	50	normal	0	Dual	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	4.5
236	Hitmonlee	106	Base	1	fighting	NA	1.5	49.8	50	120	53	35	110	87	455	45	100	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Mostly males	Normal	22.13333333
236	Hitmonchan	107	Base	1	fighting	NA	1.4	50.2	50	105	79	35	110	76	455	45	100	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Mostly males	Normal	25.6122449
108	Lickitung	108	Base	1	normal	NA	1.2	65.5	90	55	75	60	75	30	385	45	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Equal	Normal	45.48611111
109	Koffing	109	Base	1	poison	NA	0.6	1	40	65	95	60	45	35	340	190	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	2.777777778
109	Weezing	110	Phase1	1	poison	NA	1.2	9.5	65	90	120	85	70	60	490	60	50	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	6.597222222
111	Rhyhorn	111	Base	1	ground	rock	1	115	80	85	95	30	30	25	345	120	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	115
111	Rhydon	112	Phase1	1	ground	rock	1.9	120	105	130	120	45	45	40	485	60	50	50	normal	0	Dual	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	33.24099723
440	Chansey	113	Base	1	normal	NA	1.1	34.6	250	5	5	35	105	50	450	30	0	140	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Mostly females	Happy	28.59504132
114	Tangela	114	Base	1	grass	NA	1	35	65	55	115	100	40	60	435	45	50	50	normal	0	Single	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	35
115	Kangaskhan	115	NotEvolving	1	normal	NA	2.2	80	105	95	80	40	80	90	490	45	0	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Mostly females	Normal	16.52892562
116	Horsea	116	Base	1	water	NA	0.4	8	30	40	70	70	25	60	295	225	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	50
116	Seadra	117	Phase1	1	water	NA	1.2	25	55	65	95	95	45	85	440	75	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	17.36111111
118	Goldeen	118	Base	1	water	NA	0.6	15	45	67	60	35	50	63	320	225	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	41.66666667
118	Seaking	119	Phase1	1	water	NA	1.3	39	80	92	65	65	80	68	450	60	50	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	23.07692308
120	Staryu	120	Base	1	water	NA	0.8	34.5	30	45	55	70	55	85	340	225	NA	50	normal	1	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Genderless	Normal	53.90625
120	Starmie	121	Phase1	1	water	psychic	1.1	80	60	75	85	100	85	115	520	60	NA	50	normal	1	Dual	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Genderless	Normal	66.11570248
439	Mr. Mime	122	Base	1	psychic	fairy	1.3	54.5	40	45	65	100	120	90	460	45	50	50	normal	0	Dual	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	Equal	Normal	32.24852071
123	Scyther	123	Base	1	bug	flying	1.5	56	70	110	80	55	80	105	500	45	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	Equal	Normal	24.88888889
238	Jynx	124	Base	1	ice	psychic	1.4	40.6	65	50	35	115	95	95	455	45	0	50	normal	0	Dual	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	Mostly females	Normal	20.71428571
239	Electabuzz	125	Base	1	electric	NA	1.1	30	65	83	57	95	85	105	490	45	75	50	normal	0	Single	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Mostly males	Normal	24.79338843
240	Magmar	126	Base	1	fire	NA	1.3	44.5	65	95	57	100	85	93	495	45	75	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	26.33136095
127	Pinsir	127	NotEvolving	1	bug	NA	1.5	55	65	125	100	55	70	85	500	45	50	50	normal	0	Single	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	24.44444444
